bag,chest,foot,hand,head,neck,ring,waist,weapon
24,"""Havoc Glow"" Shirt of Giants",Hard Leather Boots,Wool Gloves,Cap of Perfection,Amulet,Gold Ring,Brightsilk Sash,Tome
25,Leather Armor,Divine Slippers,Wool Gloves,Leather Cap,Necklace of Detection,Titanium Ring,Leather Belt,Quarterstaff
26,Divine Robe of Rage,Leather Boots,Gloves,Cap,Necklace,Gold Ring,Leather Belt of the Fox,Long Sword of Titans
27,Ring Mail,Linen Shoes,Wool Gloves,Leather Cap of Perfection,Pendant,Titanium Ring,Studded Leather Belt,Short Sword
28,Dragonskin Armor of Giants,Heavy Boots of Detection,Linen Gloves,"""Pain Glow"" Ornate Helm of Protection",Amulet,Bronze Ring,"""Pain Roar"" War Belt of Power",Short Sword
29,"""Pandemonium Grasp"" Hard Leather Armor of Giants +1",Heavy Boots,Gauntlets of the Fox,Ornate Helm,Pendant,"""Dragon Glow"" Bronze Ring of the Twins",Dragonskin Belt,Bone Wand of Perfection
30,Studded Leather Armor,Chain Boots,Wool Gloves,Cap,"""Armageddon Grasp"" Pendant of Brilliance +1",Titanium Ring,Plated Belt,Book
31,"""Rage Grasp"" Hard Leather Armor of Protection +1","""Vengeance Tear"" Divine Slippers of Giants",Ornate Gauntlets,Ornate Helm,Necklace of the Twins,Bronze Ring,Wool Sash,Grimoire
32,Divine Robe,"""Maelstrom Sun"" Ornate Greaves of Perfection","""Corpse Roar"" Divine Gloves of Anger",Linen Hood of the Twins,Amulet of Enlightenment,Silver Ring,Mesh Belt,Short Sword
33,Holy Chestplate,Studded Leather Boots,Heavy Gloves,Helm,Pendant of Fury,Silver Ring of the Twins,Ornate Belt,Scimitar of Detection
34,Demon Husk,Heavy Boots,Wool Gloves,Full Helm,Amulet,"""Carrion Whisper"" Gold Ring of Enlightenment",Sash,Short Sword
35,Hard Leather Armor,Holy Greaves of Giants,Wool Gloves,Ancient Helm,Necklace,Gold Ring of Reflection,Ornate Belt,Bone Wand
36,Hard Leather Armor of Skill,Ornate Greaves,Linen Gloves,Leather Cap,Necklace,Titanium Ring of Brilliance,Mesh Belt,Quarterstaff
37,Hard Leather Armor,Divine Slippers of Titans,Studded Leather Gloves,Full Helm,Pendant,"""Havoc Whisper"" Silver Ring of Reflection",Brightsilk Sash,Long Sword
38,Divine Robe,Dragonskin Boots,Wool Gloves,Ornate Helm,Pendant,Titanium Ring,War Belt,Tome
39,Robe of Giants,Divine Slippers,Silk Gloves,Ornate Helm,Amulet,Platinum Ring of Detection,Silk Sash,Quarterstaff
40,Shirt,Ornate Greaves of Reflection,"""Shimmering Moon"" Demon's Hands of Vitriol +1","""Vortex Whisper"" Helm of Anger",Amulet,Platinum Ring,Sash of Giants,Maul
41,"""Vortex Roar"" Silk Robe of Anger",Chain Boots,Linen Gloves,Crown,Pendant,Platinum Ring of Detection,"""Morbid Glow"" War Belt of Skill",Maul
42,Plate Mail,Wool Shoes of Reflection,Holy Gauntlets,Helm,Necklace,Titanium Ring,Leather Belt,Warhammer
43,Linen Robe of Protection,Greaves,Gauntlets,Leather Cap,Amulet,Bronze Ring of Protection,Brightsilk Sash,Scimitar of Brilliance
44,Chain Mail,Silk Slippers,Leather Gloves,Hood,Amulet,Silver Ring,Wool Sash,Short Sword
45,Plate Mail,Divine Slippers,Holy Gauntlets,Linen Hood,Necklace of Fury,Bronze Ring,Sash,Maul
46,Hard Leather Armor,Greaves,Wool Gloves,"""Vortex Glow"" War Cap of the Twins",Amulet of Reflection,Titanium Ring of Anger,Hard Leather Belt of Vitriol,Ghost Wand
47,Studded Leather Armor of Protection,Divine Slippers,Silk Gloves,Dragon's Crown,Pendant,Platinum Ring of Detection,Brightsilk Sash of Enlightenment,Falchion
48,Hard Leather Armor,Holy Greaves,Gauntlets of Detection,Cap,Pendant,Platinum Ring,Sash,Falchion
49,Robe,Greaves,Ornate Gauntlets,Great Helm of Perfection,Necklace of Protection,Platinum Ring of Power,Studded Leather Belt,Warhammer
50,Linen Robe of Power,Chain Boots of Perfection,"""Storm Tear"" Heavy Gloves of Skill",Cap,Pendant,Bronze Ring,Linen Sash,Quarterstaff
51,Hard Leather Armor,"""Shimmering Bite"" Hard Leather Boots of Fury +1",Dragonskin Gloves,Helm,Pendant,Gold Ring of Fury,Ornate Belt,Mace
52,"""Morbid Roar"" Silk Robe of Titans","""Blight Bender"" Silk Slippers of Fury +1","""Oblivion Moon"" Hard Leather Gloves of Skill +1",War Cap of Perfection,Pendant of Detection,Platinum Ring of Enlightenment,Brightsilk Sash,Bone Wand
53,Divine Robe,Wool Shoes,Divine Gloves,Linen Hood,Necklace of Fury,Gold Ring,Linen Sash of Reflection,Mace
54,Leather Armor of Protection,Ornate Greaves,Heavy Gloves,"""Golem Root"" War Cap of Brilliance",Amulet,Platinum Ring,Ornate Belt of Titans,Ghost Wand
55,Studded Leather Armor,Divine Slippers,Gauntlets,Dragon's Crown of Detection,Amulet of Power,Titanium Ring,Heavy Belt of the Fox,Bone Wand
56,Plate Mail of Titans,Shoes,Linen Gloves,Great Helm,Necklace of Protection,"""Behemoth Roar"" Titanium Ring of Titans",Dragonskin Belt,Tome
57,Hard Leather Armor of Rage,Demonhide Boots,Divine Gloves,Hood,Necklace,Gold Ring,"""Victory Bite"" Plated Belt of Enlightenment +1",Scimitar
58,Plate Mail,Divine Slippers,Divine Gloves,Full Helm,Necklace of Detection,Gold Ring,Demonhide Belt,Grave Wand
59,Linen Robe,Chain Boots of Reflection,"""Vengeance Root"" Divine Gloves of Brilliance","""Vengeance Root"" Linen Hood of Brilliance","""Dread Bite"" Pendant of Power +1",Bronze Ring,Linen Sash,Chronicle
60,Demon Husk,"""Corpse Tear"" Linen Shoes of Brilliance",Wool Gloves,Cap,Amulet,Titanium Ring of Power,Silk Sash,"""Fate Whisper"" Ghost Wand of the Fox"
61,Ornate Chestplate,Shoes,Heavy Gloves,Helm,Amulet,Bronze Ring,Silk Sash,Falchion
62,Divine Robe,"""Rune Sun"" Ornate Greaves of Anger",Heavy Gloves,"""Carrion Glow"" Ornate Helm of Skill",Amulet,Silver Ring,Sash,Bone Wand
63,Robe,Silk Slippers,Chain Gloves,Linen Hood,Pendant,Silver Ring,Plated Belt of Detection,Falchion
64,"""Soul Tear"" Studded Leather Armor of Vitriol",Heavy Boots,Demon's Hands of Skill,Great Helm,Pendant,Platinum Ring,Dragonskin Belt,Club
65,Ring Mail,Hard Leather Boots,Wool Gloves,Crown,Pendant,Bronze Ring,Demonhide Belt,Katana
66,Silk Robe,Studded Leather Boots,"""Armageddon Grasp"" Gauntlets of Rage +1",Great Helm,Amulet,"""Death Tear"" Platinum Ring of Detection",Demonhide Belt,Long Sword
67,Leather Armor,Dragonskin Boots of Fury,Gloves,"""Skull Shout"" Great Helm of Skill +1",Necklace,Titanium Ring of Giants,Heavy Belt,Short Sword
68,Plate Mail,Leather Boots of Titans,Wool Gloves,Divine Hood,Amulet,"""Apocalypse Root"" Titanium Ring of Detection",Demonhide Belt,"""Hypnotic Roar"" Club of Fury"
69,Plate Mail,Heavy Boots of Anger,Dragonskin Gloves,Demon Crown,Amulet,Titanium Ring of Skill,Hard Leather Belt,Long Sword
70,Linen Robe,Ornate Greaves of Protection,Dragonskin Gloves,Crown,Necklace,Platinum Ring,"""Pandemonium Bite"" Silk Sash of the Fox +1",Mace
71,Demon Husk,Shoes,Hard Leather Gloves,Dragon's Crown of Fury,Necklace,Titanium Ring of Fury,Mesh Belt,"""Maelstrom Sun"" Tome of Anger"
72,Dragonskin Armor,Holy Greaves of Enlightenment,Gauntlets,Crown,Pendant,Bronze Ring,Ornate Belt,Club
73,Dragonskin Armor,"""Rage Bite"" Demonhide Boots of Perfection +1",Dragonskin Gloves,Crown,Amulet,Platinum Ring of Rage,Mesh Belt,Grave Wand
74,"""Oblivion Bite"" Hard Leather Armor of Perfection +1",Linen Shoes,Chain Gloves,Demon Crown,Necklace,Gold Ring,Wool Sash,Grimoire of Enlightenment
75,Linen Robe of Vitriol,Ornate Greaves of Power,Chain Gloves of Fury,Divine Hood,Amulet,Bronze Ring,Ornate Belt of Brilliance,Mace
76,Leather Armor,Demonhide Boots,"""Victory Moon"" Gauntlets of the Twins +1",War Cap,Amulet,Gold Ring,Mesh Belt,Katana
77,Divine Robe,Leather Boots,Heavy Gloves,Leather Cap,Amulet,Platinum Ring,Silk Sash,Bone Wand
78,Holy Chestplate,Hard Leather Boots,Holy Gauntlets of Enlightenment,Ancient Helm of Detection,Pendant of Rage,Gold Ring,Sash,Grimoire
79,Ornate Chestplate,Wool Shoes,"""Brimstone Peak"" Demon's Hands of Anger +1",Ancient Helm,Necklace of the Fox,Platinum Ring,Heavy Belt,Club of Perfection
80,Plate Mail,Silk Slippers,Divine Gloves of the Fox,Dragon's Crown,Necklace of Enlightenment,Platinum Ring,Wool Sash of Detection,Bone Wand of Reflection
81,Shirt,Dragonskin Boots,Heavy Gloves,Linen Hood,Pendant,Titanium Ring,Silk Sash,Chronicle
82,Leather Armor of Enlightenment,Heavy Boots,Chain Gloves,Full Helm,Amulet,Platinum Ring,Demonhide Belt,Falchion
83,Leather Armor of Protection,Studded Leather Boots,Ornate Gauntlets,Leather Cap,Pendant of Power,Silver Ring,Studded Leather Belt,Mace of Rage
84,"""Golem Sun"" Studded Leather Armor of Anger",Ornate Greaves,Leather Gloves,Full Helm,Necklace,Platinum Ring,Wool Sash,Chronicle
85,Leather Armor of the Twins,Dragonskin Boots,Studded Leather Gloves,Full Helm of Skill,Amulet,Bronze Ring,Leather Belt,"""Skull Moon"" Book of Skill +1"
86,Ring Mail,Divine Slippers,Dragonskin Gloves,Hood,Necklace,Platinum Ring,Dragonskin Belt,Chronicle of the Twins
87,Silk Robe,Ornate Greaves,Leather Gloves,Leather Cap,Necklace,Platinum Ring,Leather Belt,Wand
88,Holy Chestplate of Titans,Dragonskin Boots,Heavy Gloves,Cap,Amulet of Rage,Bronze Ring,War Belt,Falchion of Reflection
89,Robe,Linen Shoes,Divine Gloves of Vitriol,Ancient Helm of Enlightenment,Amulet,Bronze Ring of Skill,Linen Sash,Book of Rage
90,Plate Mail,Shoes,Holy Gauntlets,Great Helm,Necklace,Platinum Ring,Hard Leather Belt,Grimoire
91,Holy Chestplate,Studded Leather Boots,"""Oblivion Peak"" Gauntlets of Reflection +1",Dragon's Crown,Pendant of Vitriol,Bronze Ring,Ornate Belt of Giants,Quarterstaff of Skill
92,Silk Robe,Studded Leather Boots,Ornate Gauntlets,Linen Hood,"""Cataclysm Moon"" Pendant of Skill +1",Titanium Ring of Enlightenment,Heavy Belt,Quarterstaff
93,Ornate Chestplate,"""Maelstrom Tear"" Linen Shoes of Brilliance",Holy Gauntlets,Ornate Helm,Necklace,Bronze Ring,Studded Leather Belt,Grave Wand of Protection
94,Ring Mail,Studded Leather Boots,Demon's Hands of Brilliance,Linen Hood,Necklace of Protection,Titanium Ring,Mesh Belt,Maul
95,Robe of Anger,Wool Shoes,Studded Leather Gloves,Demon Crown,Amulet,Bronze Ring,Demonhide Belt,Grave Wand
96,Chain Mail,Ornate Greaves,Silk Gloves,Leather Cap,Necklace of Brilliance,Silver Ring,Mesh Belt of Skill,Maul
97,Ring Mail of Vitriol,"""Sorrow Grasp"" Shoes of Giants +1",Wool Gloves,Linen Hood of Perfection,Necklace,"""Golem Whisper"" Bronze Ring of Anger",Hard Leather Belt,Tome
98,"""Apocalypse Roar"" Holy Chestplate of Perfection",Greaves,Silk Gloves,Divine Hood,Amulet,Bronze Ring,Silk Sash,Short Sword of Rage
99,Ornate Chestplate,"""Hypnotic Root"" Studded Leather Boots of the Twins",Gloves,Hood,"""Tempest Peak"" Pendant of the Fox +1",Platinum Ring,Linen Sash,"""Tempest Bender"" Long Sword of Perfection +1"
100,Ornate Chestplate,Ornate Greaves of the Fox,Holy Gauntlets,"""Blight Shout"" Hood of Skill +1",Necklace,Platinum Ring of Reflection,Mesh Belt,Ghost Wand of Fury
101,Plate Mail,Demonhide Boots,Wool Gloves,Silk Hood of Brilliance,"""Maelstrom Tear"" Amulet of Vitriol",Bronze Ring of Power,Dragonskin Belt,Grimoire
102,Demon Husk,Studded Leather Boots,Gauntlets,Divine Hood,Pendant,Titanium Ring,Silk Sash,Tome
103,Silk Robe,Greaves,"""Fate Root"" Studded Leather Gloves of the Twins",Leather Cap of Giants,Necklace,Silver Ring,War Belt,Falchion of Power
104,Shirt,Ornate Greaves,Leather Gloves,Hood,Amulet,Silver Ring,Wool Sash,Falchion
105,Holy Chestplate of Skill,"""Vengeance Roar"" Linen Shoes of Enlightenment",Chain Gloves,Divine Hood,Necklace of Rage,Silver Ring,Plated Belt,Book
106,Silk Robe,Chain Boots,"""Victory Moon"" Hard Leather Gloves of the Twins +1",Hood,Necklace of Fury,Gold Ring,Heavy Belt of Rage,Bone Wand
107,Linen Robe,Dragonskin Boots,Heavy Gloves,Demon Crown,Necklace of Brilliance,"""Light's Glow"" Titanium Ring of Rage",War Belt,Grave Wand
108,Dragonskin Armor,Leather Boots,Hard Leather Gloves,Ornate Helm,Pendant,Bronze Ring,Plated Belt,Chronicle of Vitriol
109,Plate Mail of Detection,Heavy Boots,Leather Gloves,Full Helm,Amulet,Titanium Ring,Heavy Belt,"""Cataclysm Grasp"" Katana of Rage +1"
110,Robe of Brilliance,"""Maelstrom Glow"" Ornate Greaves of the Twins",Hard Leather Gloves,Dragon's Crown,Necklace of Fury,Bronze Ring,Studded Leather Belt,"""Blight Moon"" Book of the Twins +1"
111,Ring Mail of Giants,Demonhide Boots of the Fox,Heavy Gloves,Cap,Necklace,Gold Ring,Wool Sash of Protection,Ghost Wand
112,Demon Husk,Silk Slippers,"""Demon Grasp"" Gauntlets of Vitriol +1",Full Helm of Detection,Necklace,Gold Ring,"""Vengeance Glow"" Studded Leather Belt of Brilliance",Mace
113,Linen Robe,"""Sorrow Grasp"" Demonhide Boots of Detection +1",Wool Gloves,Cap,Pendant,Platinum Ring,Plated Belt,Maul
114,Hard Leather Armor,Shoes,Hard Leather Gloves,Great Helm of Perfection,Necklace,Silver Ring,Linen Sash,Quarterstaff
115,Hard Leather Armor,Holy Greaves,Dragonskin Gloves,Cap,Pendant of Fury,Bronze Ring of Giants,Leather Belt,"""Maelstrom Roar"" Club of Enlightenment"
116,Chain Mail,Ornate Greaves,Leather Gloves of Reflection,War Cap,Amulet,Silver Ring,Demonhide Belt,Wand of Skill
117,Ring Mail,Linen Shoes,"""Demon Shout"" Silk Gloves of the Twins +1",War Cap,Amulet,Platinum Ring,Heavy Belt of Detection,Bone Wand
118,Ring Mail,Leather Boots of Detection,Gloves,Silk Hood,Amulet,Gold Ring,Sash,Tome
119,Divine Robe,Chain Boots,Linen Gloves,War Cap,Pendant,"""Havoc Roar"" Bronze Ring of Fury",Dragonskin Belt,Club
120,Robe,Holy Greaves,Leather Gloves,Helm,Pendant of Titans,Gold Ring of the Fox,Studded Leather Belt,Grave Wand
121,Plate Mail of Fury,Chain Boots,Hard Leather Gloves,"""Cataclysm Moon"" Leather Cap of Vitriol +1",Amulet,Bronze Ring,Brightsilk Sash,Club of Fury
122,"""Vortex Glow"" Chain Mail of Brilliance",Hard Leather Boots,Hard Leather Gloves of the Twins,Crown,Pendant,Silver Ring,Studded Leather Belt,Wand
123,Chain Mail,Dragonskin Boots,Leather Gloves of Enlightenment,Ornate Helm,Necklace,Titanium Ring,Sash,Grave Wand of Brilliance
124,Ring Mail,Ornate Greaves,Gloves of Anger,Leather Cap of Giants,Pendant,Platinum Ring,Studded Leather Belt of Vitriol,Wand
125,Divine Robe,Studded Leather Boots,Demon's Hands,Leather Cap,"""Blight Bender"" Pendant of Reflection +1",Gold Ring of Vitriol,Heavy Belt,Club of Reflection
126,Plate Mail of Fury,Holy Greaves,"""Plague Sun"" Heavy Gloves of Fury",Hood of Perfection,Amulet,"""Golem Root"" Silver Ring of the Twins",Mesh Belt,Wand
127,Ring Mail,Chain Boots,Studded Leather Gloves,Hood,Necklace,Silver Ring,Linen Sash,Ghost Wand
128,"""Golem Glow"" Chain Mail of Protection",Linen Shoes,Divine Gloves,Demon Crown,Pendant,Silver Ring,Dragonskin Belt,Tome of Anger
129,Robe of Power,Leather Boots,Leather Gloves,Silk Hood of Brilliance,"""Dusk Whisper"" Amulet of the Fox","""Brimstone Peak"" Titanium Ring of Reflection +1","""Victory Peak"" Plated Belt of Titans +1",Grimoire
130,Chain Mail,Shoes,Hard Leather Gloves,Leather Cap,Necklace,"""Fate Tear"" Silver Ring of Skill",Linen Sash,Falchion
131,Robe of Titans,Dragonskin Boots,Divine Gloves of Anger,Crown,Pendant,Gold Ring,Heavy Belt,Bone Wand
132,Ring Mail,Heavy Boots,Hard Leather Gloves of the Fox,Divine Hood of Protection,"""Dread Moon"" Pendant of the Twins +1",Bronze Ring,Brightsilk Sash,Ghost Wand
133,Demon Husk,Linen Shoes,Demon's Hands of Reflection,Ornate Helm,Necklace,Bronze Ring,Ornate Belt of Rage,Scimitar
134,Ornate Chestplate,Chain Boots of Enlightenment,Wool Gloves of Anger,War Cap,"""Havoc Roar"" Amulet of Power",Bronze Ring of the Fox,Silk Sash,Long Sword
135,Robe of the Twins,Wool Shoes of Anger,Divine Gloves,"""Morbid Roar"" Ornate Helm of Titans",Necklace of Vitriol,Gold Ring,Demonhide Belt,Grave Wand
136,Divine Robe,Divine Slippers,Gauntlets,War Cap,"""Rage Moon"" Pendant of Giants +1",Gold Ring,Heavy Belt,Chronicle
137,Chain Mail,Shoes,Gauntlets,Helm,Necklace,Gold Ring,Silk Sash,Wand
138,Plate Mail,Divine Slippers,Holy Gauntlets of Giants,Leather Cap,Pendant of Rage,Platinum Ring of Vitriol,"""Skull Moon"" Demonhide Belt of Rage +1",Katana of Protection
139,Shirt,Silk Slippers,Chain Gloves,War Cap,Pendant,Platinum Ring of Giants,Wool Sash of Vitriol,Falchion of Titans
140,Plate Mail,Greaves,Wool Gloves,Hood,Necklace,Gold Ring of Reflection,Studded Leather Belt,Book
141,Studded Leather Armor,Dragonskin Boots of Detection,"""Pandemonium Shout"" Demon's Hands of Detection +1",Ornate Helm,Amulet of Vitriol,Platinum Ring,Mesh Belt of Rage,Warhammer of the Fox
142,Chain Mail,Divine Slippers,Gloves,Full Helm,Necklace,Platinum Ring,Dragonskin Belt,Warhammer of Perfection
143,Linen Robe,Holy Greaves,"""Pain Roar"" Ornate Gauntlets of Titans",Leather Cap,Pendant,Titanium Ring,Wool Sash,Book
144,"""Behemoth Roar"" Shirt of Power",Linen Shoes of Titans,Silk Gloves of Brilliance,"""Corruption Moon"" Leather Cap of Skill +1",Necklace,Titanium Ring,Ornate Belt,Wand of the Twins
145,Hard Leather Armor,Greaves,Heavy Gloves of the Twins,Demon Crown of Skill,Necklace,Titanium Ring,Mesh Belt of Vitriol,Book
146,Chain Mail,Leather Boots of the Fox,Leather Gloves,Crown,"""Maelstrom Roar"" Amulet of Perfection",Platinum Ring,War Belt,Wand
147,Holy Chestplate of Perfection,Wool Shoes of Skill,Wool Gloves of Rage,"""Vengeance Roar"" Helm of Titans",Pendant of Giants,Platinum Ring,Dragonskin Belt of Giants,Falchion
148,Silk Robe,Silk Slippers,Wool Gloves,"""Bramble Whisper"" Crown of Reflection",Amulet,Platinum Ring,Leather Belt,Scimitar
149,"""Maelstrom Tear"" Holy Chestplate of Vitriol",Wool Shoes of Detection,Dragonskin Gloves of Fury,Full Helm,Necklace,Bronze Ring,Leather Belt of Enlightenment,Bone Wand
150,Plate Mail,Dragonskin Boots,Leather Gloves of the Fox,Ancient Helm,Amulet,Platinum Ring,Linen Sash of the Twins,Chronicle of Vitriol
151,Linen Robe,Chain Boots,Hard Leather Gloves,Divine Hood,Pendant,Titanium Ring,Heavy Belt,Grimoire
152,"""Honour Bite"" Ring Mail of Enlightenment +1","""Corruption Bender"" Greaves of Reflection +1",Leather Gloves,Divine Hood of Reflection,Amulet,Titanium Ring,Plated Belt of Enlightenment,Club of Titans
153,Ornate Chestplate,Heavy Boots,Dragonskin Gloves of the Twins,Cap of Protection,Amulet,Silver Ring,Studded Leather Belt,Tome
154,Leather Armor,"""Rage Bender"" Shoes of Perfection +1",Silk Gloves,Divine Hood of Anger,Amulet,Bronze Ring of Fury,Mesh Belt of Titans,Book
155,Chain Mail of Perfection,Hard Leather Boots,Silk Gloves,Full Helm,Necklace,Silver Ring,Studded Leather Belt of Brilliance,Warhammer of Anger
156,Demon Husk,Silk Slippers,Divine Gloves of Skill,Ornate Helm,Pendant,Titanium Ring of Vitriol,Heavy Belt,Quarterstaff of Vitriol
157,Ring Mail,Silk Slippers,Linen Gloves of Titans,Hood of Skill,Pendant of Detection,Gold Ring,Leather Belt of Reflection,Falchion of Reflection
158,Holy Chestplate,Leather Boots,Gloves,Demon Crown,Amulet,Titanium Ring of Titans,Dragonskin Belt,Short Sword of Brilliance
159,Dragonskin Armor,"""Morbid Sun"" Ornate Greaves of Anger",Studded Leather Gloves,Cap,Necklace,Titanium Ring,Studded Leather Belt,Chronicle
160,Robe of the Twins,Holy Greaves,Leather Gloves,Full Helm,Pendant,Platinum Ring,Silk Sash,Ghost Wand
161,Divine Robe,Ornate Greaves,Gauntlets,Crown,Necklace,Silver Ring,War Belt,Bone Wand
162,Divine Robe,Holy Greaves,Divine Gloves of the Fox,"""Woe Moon"" Great Helm of Giants +1",Amulet,Platinum Ring,"""Brimstone Moon"" Hard Leather Belt of Giants +1",Quarterstaff of Giants
163,Leather Armor of Power,Ornate Greaves,Chain Gloves of Power,Silk Hood,Necklace,Titanium Ring,"""Maelstrom Whisper"" War Belt of Perfection",Tome
164,Hard Leather Armor,Chain Boots of Detection,Linen Gloves,"""Hypnotic Sun"" Linen Hood of Enlightenment",Amulet,"""Woe Bender"" Silver Ring of Anger +1",Linen Sash,Short Sword
165,Studded Leather Armor,Holy Greaves,Silk Gloves,Helm,Necklace,Titanium Ring,War Belt of Perfection,Grave Wand
166,Linen Robe,Linen Shoes,Hard Leather Gloves,"""Gloom Bender"" Demon Crown of the Fox +1","""Fate Glow"" Amulet of Detection",Silver Ring of Fury,Heavy Belt,Grimoire
167,Divine Robe of Power,"""Morbid Root"" Ornate Greaves of Brilliance",Chain Gloves,War Cap of Fury,Necklace,Titanium Ring,"""Blight Moon"" Sash of Detection +1","""Soul Sun"" Tome of Fury"
168,Ornate Chestplate,Ornate Greaves,Wool Gloves,Full Helm,Necklace,Bronze Ring of the Fox,Ornate Belt of Titans,Chronicle of Brilliance
169,Hard Leather Armor,Chain Boots,Heavy Gloves,Ornate Helm,Pendant,Silver Ring,Leather Belt,Mace
170,Ring Mail,Leather Boots,Heavy Gloves,Hood,Necklace,Bronze Ring,Demonhide Belt,Book
171,"""Mind Bite"" Linen Robe of Anger +1",Demonhide Boots,Holy Gauntlets of Enlightenment,War Cap,Pendant,Titanium Ring,"""Rage Peak"" Sash of Anger +1",Tome
172,Robe,Leather Boots,"""Pandemonium Moon"" Gloves of Skill +1",Linen Hood,Pendant of Rage,Silver Ring,Plated Belt,"""Golem Roar"" Club of Fury"
173,"""Fate Roar"" Shirt of Anger",Demonhide Boots,"""Brimstone Bender"" Silk Gloves of Titans +1",Linen Hood,Necklace of Titans,Bronze Ring,Sash,Long Sword
174,"""Fate Sun"" Shirt of Enlightenment",Dragonskin Boots,Wool Gloves of Brilliance,Great Helm,Pendant,Bronze Ring,Studded Leather Belt,Falchion
175,Studded Leather Armor,Wool Shoes of Enlightenment,Hard Leather Gloves,"""Golem Sun"" Crown of Fury",Pendant,Bronze Ring,Silk Sash,Mace
176,Leather Armor of Skill,"""Skull Bender"" Demonhide Boots of Enlightenment +1",Wool Gloves of Reflection,Divine Hood of Protection,Pendant,Bronze Ring,Hard Leather Belt,Long Sword
177,Ring Mail,Holy Greaves,Demon's Hands of Power,Helm,Pendant,Gold Ring of the Twins,Linen Sash,Wand of Protection
178,Shirt,Studded Leather Boots,Ornate Gauntlets,Silk Hood,Pendant,Silver Ring,Demonhide Belt,Mace
179,Holy Chestplate,Silk Slippers,Leather Gloves of Rage,Silk Hood,Necklace of Enlightenment,Titanium Ring of Reflection,Leather Belt of the Fox,Quarterstaff
